time,Q_1375,Q_1371,Q_1376,Q_1370,Q_1401,P_1375,P_1371,P_1376,P_1370,P_1401
2019-01-02T00:00:00,687.5160130043784,633.444640149158,99.70168681264651,292.6073243580044,176.3000287223257,0.0,0.0,0.0,0.0,0.0
2019-01-03T00:00:00,501.1140216189554,436.5165117802526,107.77046947719263,172.27788034199463,99.94756572270529,0.0,0.0,0.0,0.0,0.0
2019-01-04T00:00:00,317.72083109754715,272.57133441011644,70.62404537274031,105.93248059326737,61.02711926649598,0.0,0.0,0.0,0.0,0.0
2019-01-05T00:00:00,214.15246090236016,181.37967345079332,47.53752565892575,69.84199014606511,40.766642071828855,0.0,0.0,0.0,0.0,0.0
2019-01-06T00:00:00,151.99273597701938,127.15187133884005,33.98100165524851,48.50467951085091,28.243604562294934,0.0,0.0,0.0,0.0,0.0
2019-01-07T00:00:00,112.34183450225663,92.761188959974,25.573512073448594,35.03198121116154,20.13230535149864,0.0,0.0,0.0,0.0,0.0
2019-01-08T00:00:00,85.97296115456184,70.00465863266439,19.962421281754207,26.061798700431382,14.716072004297237,0.0,0.0,0.0,0.0,0.0
2019-01-09T00:00:00,67.82794333854282,54.39763838584944,16.037456728002734,19.830244298814506,10.986115095721706,0.0,0.0,0.0,0.0,0.0
2019-01-10T00:00:00,54.754406647424695,43.30419884797962,13.20000706535707,15.343369803972676,8.347367018669852,0.0,0.0,0.0,0.0,0.0
2019-01-11T00:00:00,45.001550679751375,35.11531983366478,11.084482365573054,12.033071017668975,6.437430574448942,0.0,0.0,0.0,0.0,0.0
2019-01-12T00:00:00,37.57409909682008,28.932719432899685,9.5097707510077,9.541356668251582,5.028834731494172,0.0,0.0,0.0,0.0,0.0
2019-01-13T00:00:00,32.08183326773777,24.323123760521877,8.393218171287767,7.667979971388548,3.986775496132583,1.0,1.0,1.0,1.0,1.7000000476837158
2019-01-14T00:00:00,27.7084832991502,20.725044553227058,7.522411108188309,6.255991842619845,3.212896537207129,0.0,0.0,0.0,0.0,4.800000190734863
2019-01-15T00:00:00,23.92610333426542,17.60022788954654,6.741801557840486,4.996089873686844,2.546623273887856,0.0,0.0,0.0,0.0,0.0
2019-01-16T00:00:00,20.79758003770574,15.090390687930453,6.044255426740631,4.052819320574619,2.0537996816612676,0.0,0.0,0.0,0.0,0.0
2019-01-17T00:00:00,18.38852847488452,13.202278137546784,5.528286716978259,3.326571725545886,1.677116258967203,0.5,0.5,0.5,0.5,0.5
2019-01-18T00:00:00,16.37090256354524,11.639803838512568,5.116173357613585,2.7266279019784094,1.3697727003672597,0.0,0.0,0.0,0.0,0.0
2019-01-19T00:00:00,14.691567635067395,10.342819504247379,4.757099165876585,2.2469854071470476,1.1258871344477546,0.0,0.0,0.0,0.0,0.0
2019-01-20T00:00:00,13.277505379924365,9.257648677615375,4.442283326303878,1.8604700613911422,0.930378897224113,0.0,0.0,0.0,0.0,0.0
2019-01-21T00:00:00,12.055999406042872,8.330431672462723,4.158136224439139,1.5454417937025184,0.7716540541069855,0.0,0.0,0.0,0.0,0.0
2019-01-22T00:00:00,11.023680182649324,7.540194173240896,3.9024159776702714,1.2890380955269782,0.6433178230439469,0.0,0.0,0.0,0.0,0.0
